24.5,0.0576 ,16.4940 ,0.0924 ,13.85 ,14.16 ,14.64 ,15.50 ,16.49 ,17.55 ,18.56 ,19.19 ,19.61 
25.5,0.0017 ,16.4293 ,0.0912 ,13.84 ,14.14 ,14.62 ,15.45 ,16.43 ,17.47 ,18.47 ,19.09 ,19.50 
26.5,-0.0580 ,16.3668 ,0.0900 ,13.83 ,14.12 ,14.59 ,15.41 ,16.37 ,17.39 ,18.38 ,18.99 ,19.40 
27,-0.0892 ,16.3364 ,0.0894 ,13.82 ,14.12 ,14.58 ,15.38 ,16.34 ,17.35 ,18.33 ,18.94 ,19.35 
27.5,-0.1214 ,16.3065 ,0.0889 ,13.82 ,14.11 ,14.56 ,15.36 ,16.31 ,17.32 ,18.29 ,18.90 ,19.31 
28.5,-0.1884 ,16.2485 ,0.0878 ,13.81 ,14.09 ,14.54 ,15.32 ,16.25 ,17.24 ,18.21 ,18.81 ,19.22 
29.5,-0.2590 ,16.1925 ,0.0868 ,13.80 ,14.07 ,14.51 ,15.28 ,16.19 ,17.18 ,18.13 ,18.73 ,19.13 
30.5,-0.3329 ,16.1387 ,0.0859 ,13.79 ,14.06 ,14.48 ,15.24 ,16.14 ,17.11 ,18.05 ,18.65 ,19.05 
31.5,-0.4098 ,16.0870 ,0.0851 ,13.78 ,14.04 ,14.46 ,15.20 ,16.09 ,17.05 ,17.99 ,18.58 ,18.98 
32.5,-0.4896 ,16.0374 ,0.0843 ,13.77 ,14.02 ,14.43 ,15.16 ,16.04 ,16.99 ,17.92 ,18.51 ,18.91 
33,-0.5304 ,16.0134 ,0.0839 ,13.76 ,14.02 ,14.42 ,15.15 ,16.01 ,16.96 ,17.89 ,18.48 ,18.88 
33.5,-0.5718 ,15.9899 ,0.0836 ,13.76 ,14.01 ,14.41 ,15.13 ,15.99 ,16.93 ,17.86 ,18.45 ,18.85 
34.5,-0.6562 ,15.9444 ,0.0829 ,13.74 ,13.99 ,14.39 ,15.09 ,15.94 ,16.88 ,17.80 ,18.39 ,18.80 
35.5,-0.7421 ,15.9010 ,0.0823 ,13.73 ,13.98 ,14.36 ,15.06 ,15.90 ,16.83 ,17.75 ,18.34 ,18.74 
36.5,-0.8293 ,15.8596 ,0.0818 ,13.72 ,13.96 ,14.34 ,15.03 ,15.86 ,16.78 ,17.70 ,18.29 ,18.70 
