24.5,1.0700 ,16.9094 ,0.0904 ,14.01 ,14.38 ,14.94 ,15.88 ,16.91 ,17.94 ,18.86 ,19.41 ,19.77 
25.5,0.9655 ,16.8256 ,0.0893 ,14.01 ,14.36 ,14.90 ,15.81 ,16.83 ,17.84 ,18.76 ,19.30 ,19.66 
26.5,0.8513 ,16.7447 ,0.0882 ,14.00 ,14.34 ,14.87 ,15.75 ,16.74 ,17.74 ,18.65 ,19.20 ,19.56 
27,0.7906 ,16.7053 ,0.0877 ,14.00 ,14.33 ,14.85 ,15.72 ,16.71 ,17.70 ,18.60 ,19.15 ,19.51 
27.5,0.7275 ,16.6667 ,0.0871 ,14.00 ,14.33 ,14.83 ,15.70 ,16.67 ,17.65 ,18.56 ,19.10 ,19.46 
28.5,0.5941 ,16.5915 ,0.0862 ,13.99 ,14.31 ,14.80 ,15.64 ,16.59 ,17.57 ,18.47 ,19.01 ,19.37 
29.5,0.4514 ,16.5191 ,0.0853 ,13.99 ,14.29 ,14.77 ,15.58 ,16.52 ,17.48 ,18.38 ,18.93 ,19.29 
30.5,0.2999 ,16.4495 ,0.0844 ,13.98 ,14.27 ,14.74 ,15.53 ,16.45 ,17.40 ,18.30 ,18.85 ,19.21 
31.5,0.1401 ,16.3826 ,0.0836 ,13.97 ,14.26 ,14.71 ,15.48 ,16.38 ,17.33 ,18.22 ,18.77 ,19.14 
32.5,-0.0270 ,16.3184 ,0.0829 ,13.97 ,14.24 ,14.68 ,15.43 ,16.32 ,17.26 ,18.15 ,18.71 ,19.08 
33,-0.1130 ,16.2874 ,0.0825 ,13.96 ,14.23 ,14.66 ,15.41 ,16.29 ,17.22 ,18.12 ,18.67 ,19.05 
33.5,-0.2005 ,16.2570 ,0.0822 ,13.96 ,14.23 ,14.65 ,15.39 ,16.26 ,17.19 ,18.08 ,18.64 ,19.02 
34.5,-0.3793 ,16.1984 ,0.0815 ,13.96 ,14.21 ,14.62 ,15.34 ,16.20 ,17.12 ,18.02 ,18.59 ,18.97 
35.5,-0.5621 ,16.1425 ,0.0809 ,13.95 ,14.20 ,14.59 ,15.30 ,16.14 ,17.06 ,17.96 ,18.54 ,18.93 
36.5,-0.7473 ,16.0893 ,0.0804 ,13.94 ,14.18 ,14.57 ,15.26 ,16.09 ,17.00 ,17.91 ,18.49 ,18.89 
37.5,-0.9334 ,16.0390 ,0.0798 ,13.94 ,14.17 ,14.55 ,15.22 ,16.04 ,16.95 ,17.86 ,18.45 ,18.86 
38.5,-1.1189 ,15.9914 ,0.0794 ,13.93 ,14.16 ,14.52 ,15.18 ,15.99 ,16.90 ,17.82 ,18.42 ,18.83 
39,-1.2109 ,15.9686 ,0.0792 ,13.93 ,14.15 ,14.51 ,15.16 ,15.97 ,16.87 ,17.79 ,18.40 ,18.82 
39.5,-1.3021 ,15.9466 ,0.0789 ,13.92 ,14.14 ,14.50 ,15.15 ,15.95 ,16.85 ,17.77 ,18.38 ,18.81 
40.5,-1.4815 ,15.9046 ,0.0786 ,13.91 ,14.13 ,14.48 ,15.11 ,15.90 ,16.81 ,17.74 ,18.36 ,18.79 
41.5,-1.6556 ,15.8655 ,0.0783 ,13.91 ,14.12 ,14.46 ,15.08 ,15.87 ,16.77 ,17.71 ,18.34 ,18.78 
42.5,-1.8230 ,15.8291 ,0.0780 ,13.90 ,14.11 ,14.44 ,15.05 ,15.83 ,16.73 ,17.68 ,18.32 ,18.78 
43.5,-1.9826 ,15.7955 ,0.0778 ,13.89 ,14.09 ,14.42 ,15.03 ,15.80 ,16.69 ,17.65 ,18.31 ,18.77 
44.5,-2.1332 ,15.7646 ,0.0776 ,13.88 ,14.08 ,14.40 ,15.00 ,15.76 ,16.66 ,17.63 ,18.30 ,18.78 
45,-2.2048 ,15.7502 ,0.0775 ,13.88 ,14.08 ,14.40 ,14.99 ,15.75 ,16.65 ,17.62 ,18.29 ,18.78 
45.5,-2.2740 ,15.7365 ,0.0775 ,13.88 ,14.07 ,14.39 ,14.98 ,15.74 ,16.64 ,17.61 ,18.29 ,18.78 
46.5,-2.4043 ,15.7111 ,0.0774 ,13.87 ,14.06 ,14.37 ,14.96 ,15.71 ,16.61 ,17.60 ,18.29 ,18.80 
47.5,-2.5238 ,15.6882 ,0.0775 ,13.86 ,14.05 ,14.36 ,14.94 ,15.69 ,16.59 ,17.59 ,18.30 ,18.81 
48.5,-2.6321 ,15.6680 ,0.0775 ,13.85 ,14.04 ,14.34 ,14.92 ,15.67 ,16.57 ,17.58 ,18.30 ,18.83 
49.5,-2.7290 ,15.6502 ,0.0777 ,13.84 ,14.03 ,14.33 ,14.90 ,15.65 ,16.56 ,17.58 ,18.31 ,18.86 
50.5,-2.8148 ,15.6350 ,0.0779 ,13.83 ,14.01 ,14.32 ,14.89 ,15.64 ,16.55 ,17.58 ,18.33 ,18.88 
51,-2.8535 ,15.6282 ,0.0780 ,13.83 ,14.01 ,14.31 ,14.88 ,15.63 ,16.54 ,17.58 ,18.34 ,18.90 
51.5,-2.8894 ,15.6221 ,0.0781 ,13.82 ,14.00 ,14.31 ,14.87 ,15.62 ,16.54 ,17.58 ,18.34 ,18.92 
52.5,-2.9532 ,15.6115 ,0.0784 ,13.81 ,13.99 ,14.30 ,14.86 ,15.61 ,16.54 ,17.59 ,18.37 ,18.95 
53.5,-3.0066 ,15.6032 ,0.0788 ,13.80 ,13.98 ,14.29 ,14.85 ,15.60 ,16.53 ,17.60 ,18.39 ,18.99 
54.5,-3.0501 ,15.5971 ,0.0793 ,13.79 ,13.98 ,14.28 ,14.84 ,15.60 ,16.53 ,17.61 ,18.42 ,19.03 
55.5,-3.0841 ,15.5932 ,0.0798 ,13.78 ,13.97 ,14.27 ,14.84 ,15.59 ,16.54 ,17.63 ,18.45 ,19.07 
56.5,-3.1091 ,15.5913 ,0.0803 ,13.78 ,13.96 ,14.26 ,14.83 ,15.59 ,16.54 ,17.65 ,18.48 ,19.12 
