0,-0.4787 ,3.2929 ,0.1513 ,2.52 ,2.60 ,2.74 ,2.98 ,3.29 ,3.66 ,4.04 ,4.29 ,4.47 
0.5,0.0809 ,4.2745 ,0.1342 ,3.31 ,3.42 ,3.59 ,3.90 ,4.27 ,4.68 ,5.07 ,5.32 ,5.49 
1.5,0.5563 ,5.3665 ,0.1227 ,4.19 ,4.33 ,4.55 ,4.93 ,5.37 ,5.82 ,6.24 ,6.50 ,6.67 
2.5,0.7200 ,6.0823 ,0.1182 ,4.77 ,4.93 ,5.18 ,5.60 ,6.08 ,6.57 ,7.02 ,7.30 ,7.48 
3.5,0.7667 ,6.6384 ,0.1160 ,5.23 ,5.40 ,5.67 ,6.12 ,6.64 ,7.16 ,7.64 ,7.93 ,8.12 
4.5,0.7594 ,7.1043 ,0.1147 ,5.61 ,5.80 ,6.08 ,6.56 ,7.10 ,7.66 ,8.17 ,8.47 ,8.67 
5.5,0.7243 ,7.5116 ,0.1139 ,5.95 ,6.14 ,6.44 ,6.94 ,7.51 ,8.09 ,8.63 ,8.95 ,9.17 
6.5,0.6745 ,7.8774 ,0.1135 ,6.26 ,6.45 ,6.76 ,7.28 ,7.88 ,8.49 ,9.05 ,9.39 ,9.62 
7.5,0.6168 ,8.2122 ,0.1133 ,6.54 ,6.74 ,7.05 ,7.59 ,8.21 ,8.85 ,9.44 ,9.80 ,10.03 
8.5,0.5551 ,8.5229 ,0.1131 ,6.80 ,7.00 ,7.33 ,7.88 ,8.52 ,9.18 ,9.80 ,10.17 ,10.42 
9.5,0.4919 ,8.8141 ,0.1131 ,7.04 ,7.25 ,7.58 ,8.16 ,8.81 ,9.50 ,10.14 ,10.53 ,10.79 
10.5,0.4284 ,9.0892 ,0.1131 ,7.27 ,7.49 ,7.83 ,8.41 ,9.09 ,9.80 ,10.46 ,10.87 ,11.14 
11.5,0.3657 ,9.3508 ,0.1132 ,7.49 ,7.71 ,8.06 ,8.65 ,9.35 ,10.08 ,10.77 ,11.20 ,11.48 
12.5,0.3042 ,9.6009 ,0.1132 ,7.70 ,7.93 ,8.28 ,8.89 ,9.60 ,10.35 ,11.07 ,11.51 ,11.80 
13.5,0.2443 ,9.8410 ,0.1133 ,7.91 ,8.13 ,8.49 ,9.11 ,9.84 ,10.61 ,11.35 ,11.81 ,12.11 
14.5,0.1861 ,10.0724 ,0.1134 ,8.10 ,8.33 ,8.69 ,9.33 ,10.07 ,10.87 ,11.63 ,12.10 ,12.42 
15.5,0.1298 ,10.2960 ,0.1136 ,8.29 ,8.52 ,8.89 ,9.53 ,10.30 ,11.11 ,11.89 ,12.38 ,12.71 
16.5,0.0754 ,10.5127 ,0.1137 ,8.47 ,8.71 ,9.08 ,9.74 ,10.51 ,11.35 ,12.15 ,12.66 ,13.00 
17.5,0.0229 ,10.7233 ,0.1138 ,8.65 ,8.89 ,9.27 ,9.93 ,10.72 ,11.58 ,12.40 ,12.93 ,13.28 
18.5,-0.0277 ,10.9282 ,0.1139 ,8.83 ,9.07 ,9.45 ,10.12 ,10.93 ,11.80 ,12.65 ,13.19 ,13.55 
19.5,-0.0765 ,11.1280 ,0.1140 ,9.00 ,9.24 ,9.62 ,10.31 ,11.13 ,12.02 ,12.89 ,13.44 ,13.81 
20.5,-0.1236 ,11.3232 ,0.1142 ,9.16 ,9.40 ,9.79 ,10.49 ,11.32 ,12.23 ,13.13 ,13.69 ,14.08 
21.5,-0.1689 ,11.5141 ,0.1143 ,9.32 ,9.57 ,9.96 ,10.67 ,11.51 ,12.44 ,13.36 ,13.94 ,14.33 
22.5,-0.2127 ,11.7010 ,0.1144 ,9.48 ,9.73 ,10.13 ,10.84 ,11.70 ,12.65 ,13.58 ,14.18 ,14.58 
23.5,-0.2548 ,11.8843 ,0.1145 ,9.64 ,9.89 ,10.29 ,11.01 ,11.88 ,12.85 ,13.80 ,14.41 ,14.83 
24.5,-0.2935 ,12.0666 ,0.1147 ,9.79 ,10.04 ,10.45 ,11.18 ,12.07 ,13.05 ,14.02 ,14.65 ,15.08 
25.5,-0.3278 ,12.2456 ,0.1149 ,9.94 ,10.19 ,10.61 ,11.34 ,12.25 ,13.24 ,14.24 ,14.88 ,15.32 
26.5,-0.3598 ,12.4181 ,0.1151 ,10.08 ,10.34 ,10.76 ,11.50 ,12.42 ,13.43 ,14.45 ,15.11 ,15.56 
27,-0.3750 ,12.5022 ,0.1152 ,10.15 ,10.41 ,10.83 ,11.58 ,12.50 ,13.53 ,14.55 ,15.22 ,15.67 
27.5,-0.3909 ,12.5849 ,0.1152 ,10.22 ,10.48 ,10.90 ,11.66 ,12.58 ,13.62 ,14.65 ,15.32 ,15.78 
28.5,-0.4175 ,12.7462 ,0.1154 ,10.35 ,10.62 ,11.04 ,11.81 ,12.75 ,13.80 ,14.85 ,15.53 ,16.00 
29.5,-0.4437 ,12.9028 ,0.1155 ,10.49 ,10.75 ,11.18 ,11.95 ,12.90 ,13.97 ,15.04 ,15.74 ,16.22 
30.5,-0.4684 ,13.0554 ,0.1156 ,10.61 ,10.88 ,11.31 ,12.09 ,13.06 ,14.13 ,15.22 ,15.93 ,16.42 
31.5,-0.4921 ,13.2047 ,0.1157 ,10.74 ,11.01 ,11.44 ,12.23 ,13.20 ,14.30 ,15.40 ,16.12 ,16.62 
32.5,-0.5151 ,13.3515 ,0.1156 ,10.86 ,11.14 ,11.57 ,12.37 ,13.35 ,14.46 ,15.58 ,16.31 ,16.82 
33,-0.5264 ,13.4243 ,0.1156 ,10.93 ,11.20 ,11.64 ,12.44 ,13.42 ,14.54 ,15.66 ,16.40 ,16.91 
33.5,-0.5376 ,13.4967 ,0.1156 ,10.99 ,11.26 ,11.70 ,12.51 ,13.50 ,14.61 ,15.75 ,16.49 ,17.01 
34.5,-0.5601 ,13.6410 ,0.1154 ,11.11 ,11.39 ,11.83 ,12.64 ,13.64 ,14.77 ,15.92 ,16.67 ,17.19 
35.5,-0.5829 ,13.7852 ,0.1153 ,11.24 ,11.52 ,11.96 ,12.78 ,13.79 ,14.93 ,16.09 ,16.85 ,17.38 
36.5,-0.6098 ,13.9340 ,0.1151 ,11.37 ,11.65 ,12.10 ,12.92 ,13.93 ,15.09 ,16.26 ,17.04 ,17.57 
37.5,-0.6408 ,14.0876 ,0.1149 ,11.51 ,11.79 ,12.24 ,13.06 ,14.09 ,15.25 ,16.44 ,17.23 ,17.78 
38.5,-0.6725 ,14.2424 ,0.1147 ,11.64 ,11.92 ,12.38 ,13.21 ,14.24 ,15.42 ,16.63 ,17.43 ,17.98 
39,-0.6885 ,14.3204 ,0.1146 ,11.71 ,11.99 ,12.45 ,13.28 ,14.32 ,15.50 ,16.72 ,17.53 ,18.09 
39.5,-0.7047 ,14.3986 ,0.1146 ,11.78 ,12.06 ,12.52 ,13.36 ,14.40 ,15.59 ,16.81 ,17.62 ,18.19 
40.5,-0.7377 ,14.5563 ,0.1144 ,11.92 ,12.20 ,12.66 ,13.50 ,14.56 ,15.76 ,17.00 ,17.83 ,18.40 
41.5,-0.7713 ,14.7153 ,0.1143 ,12.06 ,12.35 ,12.81 ,13.65 ,14.72 ,15.93 ,17.19 ,18.03 ,18.61 
42.5,-0.8056 ,14.8757 ,0.1141 ,12.20 ,12.49 ,12.95 ,13.81 ,14.88 ,16.11 ,17.38 ,18.23 ,18.83 
43.5,-0.8405 ,15.0376 ,0.1140 ,12.35 ,12.63 ,13.10 ,13.96 ,15.04 ,16.28 ,17.58 ,18.44 ,19.05 
44.5,-0.8760 ,15.2010 ,0.1139 ,12.49 ,12.78 ,13.25 ,14.11 ,15.20 ,16.46 ,17.77 ,18.65 ,19.27 
45,-0.8939 ,15.2832 ,0.1139 ,12.56 ,12.85 ,13.32 ,14.19 ,15.28 ,16.55 ,17.87 ,18.76 ,19.39 
45.5,-0.9119 ,15.3657 ,0.1139 ,12.64 ,12.93 ,13.40 ,14.27 ,15.37 ,16.64 ,17.97 ,18.87 ,19.50 
46.5,-0.9482 ,15.5319 ,0.1139 ,12.78 ,13.07 ,13.55 ,14.42 ,15.53 ,16.82 ,18.17 ,19.09 ,19.73 
47.5,-0.9847 ,15.6994 ,0.1139 ,12.93 ,13.22 ,13.70 ,14.58 ,15.70 ,17.00 ,18.38 ,19.31 ,19.97 
48.5,-1.0213 ,15.8682 ,0.1139 ,13.07 ,13.37 ,13.85 ,14.74 ,15.87 ,17.19 ,18.59 ,19.54 ,20.21 
49.5,-1.0578 ,16.0383 ,0.1140 ,13.22 ,13.52 ,14.00 ,14.90 ,16.04 ,17.38 ,18.80 ,19.77 ,20.45 
50.5,-1.0940 ,16.2096 ,0.1141 ,13.37 ,13.66 ,14.15 ,15.06 ,16.21 ,17.57 ,19.01 ,20.00 ,20.70 
51,-1.1119 ,16.2957 ,0.1142 ,13.44 ,13.74 ,14.23 ,15.14 ,16.30 ,17.66 ,19.12 ,20.12 ,20.83 
51.5,-1.1297 ,16.3821 ,0.1143 ,13.51 ,13.81 ,14.30 ,15.22 ,16.38 ,17.76 ,19.23 ,20.24 ,20.96 
52.5,-1.1648 ,16.5558 ,0.1145 ,13.66 ,13.96 ,14.46 ,15.38 ,16.56 ,17.95 ,19.45 ,20.48 ,21.22 
